case,trial,warm_ratio,final_ratio,surrogate_ratio,queries,exceeds_requested_factor
rank_one_distractors,0,4.097002807073335,1.0,1.4179991501197,27,False
rank_one_distractors,1,4.109912240561439,1.0,1.2771039182383905,27,False
rank_one_distractors,2,4.124185573837454,1.0,1.333246011993076,27,False
rank_one_distractors,3,4.145648618046851,1.0,1.3297266797573257,27,False
rank_one_distractors,4,4.087392059894564,1.0,1.3613606136614766,27,False
rank_one_distractors,5,4.139936042176112,1.0,1.2384385001970297,27,False
rank_one_distractors,6,4.102660588124563,1.0,1.5284294640633034,27,False
rank_one_distractors,7,4.110422730962543,1.0,1.5092397162434301,27,False
rank_one_distractors,8,4.137571949306809,1.0,1.3461559745860765,27,False
rank_one_distractors,9,4.117103021206498,1.0,1.504692263324214,27,False
rank_one_distractors,10,4.139672309939781,1.0,1.3532220739363112,27,False
rank_one_distractors,11,4.10880801345967,1.0,1.242718887051188,27,False
rank_one_distractors,12,4.13645290340761,1.0,1.3262264682363372,27,False
rank_one_distractors,13,4.125375243981457,1.0,1.3951732686865879,27,False
rank_one_distractors,14,4.116600170592272,1.0,1.500447048969928,27,False
rank_one_distractors,15,4.145141865835509,1.0,1.2100414203848098,27,False
rank_one_distractors,16,4.106578840769038,1.0,1.6572763448142125,27,False
rank_one_distractors,17,4.128091923519889,1.0,1.2875020271806412,27,False
rank_one_distractors,18,4.128126880778495,1.0,1.4854665361128865,27,False
rank_one_distractors,19,4.137796988479691,1.0,1.3865655476578307,27,False
rank_one_distractors,20,1.0,1.0,1.313926614068706,27,False
rank_one_distractors,21,1.0,1.0,1.3086243724544273,27,False
rank_one_distractors,22,4.117566009399066,1.0,1.2764784437183239,27,False
rank_one_distractors,23,4.10964999364286,1.0,1.4237639215149231,27,False
rank_one_distractors,24,4.104277187358973,1.0,1.3375575919091276,27,False
rank_one_distractors,25,4.113277662411369,1.0,1.557786528222336,27,False
rank_one_distractors,26,4.137571949306809,1.0,1.3550910746292275,27,False
rank_one_distractors,27,4.132621122734544,1.0,1.3580961594385554,27,False
rank_one_distractors,28,4.124625779128229,1.0,1.4237115387197086,27,False
rank_one_distractors,29,4.098308703687237,1.0,1.2364304540247055,27,False
rank_one_distractors,30,4.129771938985706,1.0,1.2837183046425875,27,False
rank_one_distractors,31,4.1018702637775615,1.0,1.2300443733447814,27,False
rank_one_distractors,32,4.124652818724652,1.0,1.2277294037317863,27,False
rank_one_distractors,33,4.112405300765578,1.0,1.332633293513473,27,False
rank_one_distractors,34,4.104277187358973,1.0,1.2416416968160686,27,False
